epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,5065.87,0.79177,0.63842,1.07221,0.65992,0.48637,0.54369,0.34387,1.43824,1.35677,1.54534,0.000179179,0.000179179,0.000179179
137,5103.57,0.76116,0.6322,1.05667,0.58701,0.57828,0.56009,0.35206,1.43315,1.29825,1.55409,0.000177654,0.000177654,0.000177654
138,5140.62,0.76931,0.64677,1.06683,0.69996,0.47712,0.5302,0.33564,1.45752,1.36163,1.5796,0.00017613,0.00017613,0.00017613
139,5177.6,0.76688,0.61716,1.06094,0.70216,0.47192,0.54629,0.3502,1.43029,1.36377,1.55678,0.000174605,0.000174605,0.000174605
140,5215.28,0.76525,0.6287,1.06484,0.60976,0.52833,0.5468,0.3444,1.453,1.39052,1.58625,0.000173081,0.000173081,0.000173081
141,5253.02,0.76075,0.62132,1.05154,0.67649,0.47768,0.5448,0.34884,1.44942,1.40008,1.56358,0.000171556,0.000171556,0.000171556
142,5290.86,0.75205,0.61874,1.05519,0.64836,0.48419,0.54331,0.34865,1.42359,1.37457,1.54757,0.000170031,0.000170031,0.000170031
143,5328.68,0.75476,0.61528,1.05432,0.67495,0.5244,0.55303,0.35584,1.43268,1.38452,1.56414,0.000168507,0.000168507,0.000168507
144,5366.57,0.76431,0.62919,1.06079,0.63134,0.54693,0.54168,0.34458,1.43182,1.41259,1.57132,0.000166982,0.000166982,0.000166982
145,5404.44,0.75783,0.61491,1.05086,0.58759,0.53122,0.55608,0.35003,1.45056,1.34085,1.58289,0.000165458,0.000165458,0.000165458
146,5442.05,0.75995,0.62365,1.05104,0.63202,0.5133,0.54778,0.3486,1.42734,1.35914,1.5605,0.000163933,0.000163933,0.000163933
147,5479.63,0.74897,0.6114,1.04917,0.61986,0.546,0.56099,0.35021,1.43368,1.29038,1.56483,0.000162408,0.000162408,0.000162408
