epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,5731.15,0.68792,0.54654,1.02506,0.61872,0.56006,0.59771,0.37215,1.41833,1.29075,1.5922,9.112e-05,9.112e-05,9.112e-05
158,5767.25,0.67166,0.5491,1.01714,0.67576,0.51995,0.61369,0.38912,1.39837,1.30099,1.57562,8.914e-05,8.914e-05,8.914e-05
159,5803.18,0.67589,0.54153,1.02163,0.63923,0.56318,0.61144,0.38642,1.40675,1.29394,1.57612,8.716e-05,8.716e-05,8.716e-05
160,5838.81,0.67882,0.55105,1.0187,0.60306,0.57016,0.59326,0.37161,1.40369,1.30848,1.57568,8.518e-05,8.518e-05,8.518e-05
161,5873.92,0.67795,0.54839,1.02289,0.60977,0.5719,0.60418,0.38085,1.39933,1.28353,1.58552,8.32e-05,8.32e-05,8.32e-05
162,5910.61,0.69512,0.56262,1.02401,0.62512,0.55644,0.60861,0.38389,1.41867,1.27783,1.58079,8.122e-05,8.122e-05,8.122e-05
163,5947.23,0.66433,0.54777,1.01784,0.60757,0.58037,0.60407,0.38207,1.4235,1.27425,1.5928,7.924e-05,7.924e-05,7.924e-05
164,5982.39,0.65237,0.53338,1.01231,0.57434,0.6044,0.60314,0.38105,1.40139,1.27389,1.58564,7.726e-05,7.726e-05,7.726e-05
165,6018.55,0.66467,0.541,1.01619,0.59571,0.57193,0.60527,0.38368,1.40432,1.29504,1.5898,7.528e-05,7.528e-05,7.528e-05
166,6054.96,0.65776,0.5363,1.01434,0.61875,0.55096,0.5945,0.37942,1.39107,1.27664,1.5859,7.33e-05,7.33e-05,7.33e-05
167,6091.38,0.65334,0.53019,1.0082,0.66781,0.50399,0.59162,0.37171,1.40669,1.28641,1.60503,7.132e-05,7.132e-05,7.132e-05
168,6126.88,0.66886,0.53675,1.02147,0.68772,0.49166,0.59091,0.37926,1.40587,1.28955,1.60589,6.934e-05,6.934e-05,6.934e-05
169,6163.27,0.653,0.52858,1.015,0.63096,0.56611,0.60578,0.39145,1.40461,1.26297,1.60491,6.736e-05,6.736e-05,6.736e-05
170,6199.6,0.65796,0.54256,1.01538,0.6214,0.53589,0.60109,0.39145,1.39436,1.2619,1.59879,6.538e-05,6.538e-05,6.538e-05
